"filename", "language", "JSON", "Markdown", "JSON with Comments", "HTML", "JavaScript", "TypeScript", "TypeScript JSX", "XML", "YAML", "CSS", "comment", "blank", "total"
"c:\Users\user\Desktop\项目\chat-frontend\src\views\chat\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\contact\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 1, 59
"c:\Users\user\Desktop\项目\chat-frontend\src\views\login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\more_apps\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\notification\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\regist\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\views\self\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\user\Desktop\项目\chat-frontend\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\user\Desktop\项目\chat-frontend\tsconfig.app.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 31
"c:\Users\user\Desktop\项目\chat-frontend\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\user\Desktop\项目\chat-frontend\tsconfig.node.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\user\Desktop\项目\chat-frontend\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 1, 15
"Total", "-", 92, 45, 7, 13, 27, 327, 2316, 1, 3222, 76, 37, 1169, 7332
